rental_id,cliente,pelicula,categoria,rental_date
10895,JANE BENNETT,AMADEUS HOLY,Action,2005-08-02 01:16:59
12268,DEBRA NELSON,AMADEUS HOLY,Action,2005-08-18 04:26:54
3150,REBECCA SCOTT,AMADEUS HOLY,Action,2005-06-20 20:35:28
5072,MAXINE SILVA,AMADEUS HOLY,Action,2005-07-09 05:01:58
9080,BRANDY GRAVES,AMADEUS HOLY,Action,2005-07-30 08:02:39
14603,JESSICA HALL,AMADEUS HOLY,Action,2005-08-21 17:51:06
588,JULIA FLORES,AMADEUS HOLY,Action,2005-05-28 12:08:37
2867,VERNON CHAPA,AMADEUS HOLY,Action,2005-06-20 00:08:38
6030,KATHLEEN ADAMS,AMADEUS HOLY,Action,2005-07-11 02:37:51
7788,HECTOR POINDEXTER,AMADEUS HOLY,Action,2005-07-28 07:21:55
14310,SAMANTHA DUNCAN,AMADEUS HOLY,Action,2005-08-21 07:44:32
10509,NATHANIEL ADAM,AMADEUS HOLY,Action,2005-08-01 11:25:28
14349,SHERRY MARSHALL,AMADEUS HOLY,Action,2005-08-21 08:54:53
1735,BARBARA JONES,AMADEUS HOLY,Action,2005-06-16 15:51:52
3474,EDUARDO HIATT,AMADEUS HOLY,Action,2005-07-05 22:59:53
9259,HAZEL WARREN,AMADEUS HOLY,Action,2005-07-30 14:37:44
12786,CECIL VINES,AMADEUS HOLY,Action,2006-02-14 15:16:03
2649,SUZANNE NICHOLS,AMADEUS HOLY,Action,2005-06-19 10:20:09
6651,CLIFFORD BOWENS,AMADEUS HOLY,Action,2005-07-12 10:57:28
8631,EVERETT BANDA,AMADEUS HOLY,Action,2005-07-29 14:08:06
11727,JENNIFER DAVIS,AMADEUS HOLY,Action,2005-08-17 08:12:20
207,FRANCES PARKER,AMERICAN CIRCUS,Action,2005-05-26 08:04:38
1454,ERIKA PENA,AMERICAN CIRCUS,Action,2005-06-15 19:49:41
4115,BILLY POULIN,AMERICAN CIRCUS,Action,2005-07-07 06:52:23
10757,MELANIE ARMSTRONG,AMERICAN CIRCUS,Action,2005-08-01 20:22:44
14908,JOE GILLILAND,AMERICAN CIRCUS,Action,2005-08-22 04:44:10
135,DAVID ROYAL,AMERICAN CIRCUS,Action,2005-05-25 21:58:58
2803,SYLVIA ORTIZ,AMERICAN CIRCUS,Action,2005-06-19 19:18:27
6793,ELEANOR HUNT,AMERICAN CIRCUS,Action,2005-07-12 16:37:55
9374,MICHAEL SILVERMAN,AMERICAN CIRCUS,Action,2005-07-30 19:10:03
15643,ERIKA PENA,AMERICAN CIRCUS,Action,2005-08-23 08:13:26
4050,CLAUDE HERZOG,AMERICAN CIRCUS,Action,2005-07-07 03:35:33
10871,TAMMY SANDERS,AMERICAN CIRCUS,Action,2005-08-02 00:27:24
12667,JULIO NOLAND,AMERICAN CIRCUS,Action,2005-08-18 19:11:45
1940,JIM REA,AMERICAN CIRCUS,Action,2005-06-17 07:42:22
6153,FRANCES PARKER,AMERICAN CIRCUS,Action,2005-07-11 09:31:04
11257,TIM CARY,AMERICAN CIRCUS,Action,2005-08-02 13:45:05
12755,ALEXANDER FENNELL,AMERICAN CIRCUS,Action,2005-08-18 22:38:47
3732,BRIAN WYMAN,AMERICAN CIRCUS,Action,2005-07-06 11:33:37
9050,AMANDA CARTER,AMERICAN CIRCUS,Action,2005-07-30 06:59:55
13428,MARIE TURNER,AMERICAN CIRCUS,Action,2006-02-14 15:16:03
7338,VICKIE BREWER,AMERICAN CIRCUS,Action,2005-07-27 14:13:34
12917,ALICIA MILLS,AMERICAN CIRCUS,Action,2005-08-19 04:27:11
1123,MIGUEL BETANCOURT,ANTITRUST TOMATOES,Action,2005-05-31 16:48:43
1189,VIOLA HANSON,ANTITRUST TOMATOES,Action,2005-06-15 01:04:22
5785,STACEY MONTGOMERY,ANTITRUST TOMATOES,Action,2005-07-10 14:06:03
9706,MILTON HOWLAND,ANTITRUST TOMATOES,Action,2005-07-31 07:43:19
13994,STACY CUNNINGHAM,ANTITRUST TOMATOES,Action,2005-08-20 19:33:21
1134,JEANETTE GREENE,ANTITRUST TOMATOES,Action,2005-05-31 19:14:15
2838,MISTY LAMBERT,ANTITRUST TOMATOES,Action,2005-06-19 22:06:06
3881,RONNIE RICKETTS,ANTITRUST TOMATOES,Action,2005-07-06 18:35:37
7128,ERIK GUILLEN,ANTITRUST TOMATOES,Action,2005-07-27 06:14:36
14123,JANICE WARD,ANTITRUST TOMATOES,Action,2005-08-21 01:31:25
