rental_id,cliente,pelicula,categoria,rental_date,year,month,month_name,day,weekday,hour,primer_nombre,genero_estimado
10895,JANE BENNETT,AMADEUS HOLY,Action,2005-08-02 01:16:59,2005,8,August,2,Tuesday,1,jane,Femenino
12268,DEBRA NELSON,AMADEUS HOLY,Action,2005-08-18 04:26:54,2005,8,August,18,Thursday,4,debra,Femenino
3150,REBECCA SCOTT,AMADEUS HOLY,Action,2005-06-20 20:35:28,2005,6,June,20,Monday,20,rebecca,Femenino
5072,MAXINE SILVA,AMADEUS HOLY,Action,2005-07-09 05:01:58,2005,7,July,9,Saturday,5,maxine,Femenino
9080,BRANDY GRAVES,AMADEUS HOLY,Action,2005-07-30 08:02:39,2005,7,July,30,Saturday,8,brandy,Masculino
14603,JESSICA HALL,AMADEUS HOLY,Action,2005-08-21 17:51:06,2005,8,August,21,Sunday,17,jessica,Femenino
588,JULIA FLORES,AMADEUS HOLY,Action,2005-05-28 12:08:37,2005,5,May,28,Saturday,12,julia,Femenino
2867,VERNON CHAPA,AMADEUS HOLY,Action,2005-06-20 00:08:38,2005,6,June,20,Monday,0,vernon,Masculino
6030,KATHLEEN ADAMS,AMADEUS HOLY,Action,2005-07-11 02:37:51,2005,7,July,11,Monday,2,kathleen,Masculino
7788,HECTOR POINDEXTER,AMADEUS HOLY,Action,2005-07-28 07:21:55,2005,7,July,28,Thursday,7,hector,Masculino
14310,SAMANTHA DUNCAN,AMADEUS HOLY,Action,2005-08-21 07:44:32,2005,8,August,21,Sunday,7,samantha,Femenino
10509,NATHANIEL ADAM,AMADEUS HOLY,Action,2005-08-01 11:25:28,2005,8,August,1,Monday,11,nathaniel,Masculino
14349,SHERRY MARSHALL,AMADEUS HOLY,Action,2005-08-21 08:54:53,2005,8,August,21,Sunday,8,sherry,Masculino
1735,BARBARA JONES,AMADEUS HOLY,Action,2005-06-16 15:51:52,2005,6,June,16,Thursday,15,barbara,Femenino
3474,EDUARDO HIATT,AMADEUS HOLY,Action,2005-07-05 22:59:53,2005,7,July,5,Tuesday,22,eduardo,Masculino
9259,HAZEL WARREN,AMADEUS HOLY,Action,2005-07-30 14:37:44,2005,7,July,30,Saturday,14,hazel,Masculino
12786,CECIL VINES,AMADEUS HOLY,Action,2006-02-14 15:16:03,2006,2,February,14,Tuesday,15,cecil,Masculino
2649,SUZANNE NICHOLS,AMADEUS HOLY,Action,2005-06-19 10:20:09,2005,6,June,19,Sunday,10,suzanne,Femenino
6651,CLIFFORD BOWENS,AMADEUS HOLY,Action,2005-07-12 10:57:28,2005,7,July,12,Tuesday,10,clifford,Masculino
8631,EVERETT BANDA,AMADEUS HOLY,Action,2005-07-29 14:08:06,2005,7,July,29,Friday,14,everett,Masculino
11727,JENNIFER DAVIS,AMADEUS HOLY,Action,2005-08-17 08:12:20,2005,8,August,17,Wednesday,8,jennifer,Masculino
207,FRANCES PARKER,AMERICAN CIRCUS,Action,2005-05-26 08:04:38,2005,5,May,26,Thursday,8,frances,Masculino
1454,ERIKA PENA,AMERICAN CIRCUS,Action,2005-06-15 19:49:41,2005,6,June,15,Wednesday,19,erika,Femenino
4115,BILLY POULIN,AMERICAN CIRCUS,Action,2005-07-07 06:52:23,2005,7,July,7,Thursday,6,billy,Masculino
10757,MELANIE ARMSTRONG,AMERICAN CIRCUS,Action,2005-08-01 20:22:44,2005,8,August,1,Monday,20,melanie,Femenino
14908,JOE GILLILAND,AMERICAN CIRCUS,Action,2005-08-22 04:44:10,2005,8,August,22,Monday,4,joe,Femenino
135,DAVID ROYAL,AMERICAN CIRCUS,Action,2005-05-25 21:58:58,2005,5,May,25,Wednesday,21,david,Masculino
2803,SYLVIA ORTIZ,AMERICAN CIRCUS,Action,2005-06-19 19:18:27,2005,6,June,19,Sunday,19,sylvia,Femenino
6793,ELEANOR HUNT,AMERICAN CIRCUS,Action,2005-07-12 16:37:55,2005,7,July,12,Tuesday,16,eleanor,Masculino
9374,MICHAEL SILVERMAN,AMERICAN CIRCUS,Action,2005-07-30 19:10:03,2005,7,July,30,Saturday,19,michael,Masculino
15643,ERIKA PENA,AMERICAN CIRCUS,Action,2005-08-23 08:13:26,2005,8,August,23,Tuesday,8,erika,Femenino
4050,CLAUDE HERZOG,AMERICAN CIRCUS,Action,2005-07-07 03:35:33,2005,7,July,7,Thursday,3,claude,Femenino
